2026-04-22 19:28:08 | INFO | cla | step=770 | train/total_loss=2.9434, train/distill_loss=0.3398, train/cla_loss=2.6036, train/lr=0.0001
2026-04-22 19:28:35 | INFO | cla | step=780 | train/total_loss=3.0170, train/distill_loss=0.2704, train/cla_loss=2.7466, train/lr=0.0001
2026-04-22 19:29:02 | INFO | cla | step=790 | train/total_loss=3.0534, train/distill_loss=0.3376, train/cla_loss=2.7158, train/lr=0.0001
2026-04-22 19:29:28 | INFO | cla | step=800 | train/total_loss=3.5195, train/distill_loss=0.6757, train/cla_loss=2.8438, train/lr=0.0001
2026-04-22 19:30:04 | INFO | cla | step=800 | eval/total_loss=3.5225, eval/distill_loss=0.5052, eval/cla_loss=3.0173
2026-04-22 19:30:31 | INFO | cla | step=810 | train/total_loss=3.6568, train/distill_loss=0.4494, train/cla_loss=3.2074, train/lr=0.0001
2026-04-22 19:30:58 | INFO | cla | step=820 | train/total_loss=3.4064, train/distill_loss=0.2794, train/cla_loss=3.1270, train/lr=0.0001
2026-04-22 19:31:25 | INFO | cla | step=830 | train/total_loss=2.7033, train/distill_loss=0.1383, train/cla_loss=2.5650, train/lr=0.0001
2026-04-22 19:31:51 | INFO | cla | step=840 | train/total_loss=3.0785, train/distill_loss=0.1477, train/cla_loss=2.9308, train/lr=0.0001
2026-04-22 19:32:18 | INFO | cla | step=850 | train/total_loss=2.6147, train/distill_loss=0.2045, train/cla_loss=2.4102, train/lr=0.0001
2026-04-22 19:32:45 | INFO | cla | step=860 | train/total_loss=2.6738, train/distill_loss=0.1103, train/cla_loss=2.5635, train/lr=0.0000
2026-04-22 19:33:12 | INFO | cla | step=870 | train/total_loss=3.0266, train/distill_loss=0.2350, train/cla_loss=2.7915, train/lr=0.0000
2026-04-22 19:33:38 | INFO | cla | step=880 | train/total_loss=3.3655, train/distill_loss=0.1669, train/cla_loss=3.1985, train/lr=0.0000
2026-04-22 19:34:05 | INFO | cla | step=890 | train/total_loss=3.1358, train/distill_loss=0.1736, train/cla_loss=2.9622, train/lr=0.0000
2026-04-22 19:34:32 | INFO | cla | step=900 | train/total_loss=3.7529, train/distill_loss=0.4388, train/cla_loss=3.3141, train/lr=0.0000
2026-04-22 19:35:08 | INFO | cla | step=900 | eval/total_loss=3.5100, eval/distill_loss=0.4942, eval/cla_loss=3.0158
2026-04-22 19:35:35 | INFO | cla | step=910 | train/total_loss=3.5720, train/distill_loss=0.4760, train/cla_loss=3.0961, train/lr=0.0000
2026-04-22 19:36:01 | INFO | cla | step=920 | train/total_loss=3.3541, train/distill_loss=0.2260, train/cla_loss=3.1281, train/lr=0.0000
2026-04-22 19:36:27 | INFO | cla | step=930 | train/total_loss=3.9331, train/distill_loss=0.8622, train/cla_loss=3.0709, train/lr=0.0000
2026-04-22 19:36:53 | INFO | cla | step=940 | train/total_loss=3.5423, train/distill_loss=0.5884, train/cla_loss=2.9539, train/lr=0.0000
2026-04-22 19:37:28 | INFO | cla | step=940 | eval/total_loss=3.5091, eval/distill_loss=0.4934, eval/cla_loss=3.0157
2026-04-22 19:37:29 | INFO | cla | Training complete. Final metrics: {'train/total_loss': 3.5422747135162354, 'train/distill_loss': 0.5884025692939758, 'train/cla_loss': 2.9538722038269043, 'train/lr': 0.0, 'eval/total_loss': 3.5091445875167846, 'eval/distill_loss': 0.4934030526578426, 'eval/cla_loss': 3.0157415323257446}
