2026-04-22 19:28:53 | INFO | cla | step=790 | train/total_loss=0.3475, train/distill_loss=0.3475, train/cla_loss=3.3268, train/lr=0.0001
2026-04-22 19:29:19 | INFO | cla | step=800 | train/total_loss=0.6566, train/distill_loss=0.6566, train/cla_loss=3.3597, train/lr=0.0001
2026-04-22 19:29:54 | INFO | cla | step=800 | eval/total_loss=0.5067, eval/distill_loss=0.5067, eval/cla_loss=3.3848
2026-04-22 19:30:20 | INFO | cla | step=810 | train/total_loss=0.4347, train/distill_loss=0.4347, train/cla_loss=3.4239, train/lr=0.0001
2026-04-22 19:30:47 | INFO | cla | step=820 | train/total_loss=0.3279, train/distill_loss=0.3279, train/cla_loss=3.4075, train/lr=0.0001
2026-04-22 19:31:13 | INFO | cla | step=830 | train/total_loss=0.1341, train/distill_loss=0.1341, train/cla_loss=3.3161, train/lr=0.0001
2026-04-22 19:31:40 | INFO | cla | step=840 | train/total_loss=0.1737, train/distill_loss=0.1737, train/cla_loss=3.3770, train/lr=0.0001
2026-04-22 19:32:06 | INFO | cla | step=850 | train/total_loss=0.2045, train/distill_loss=0.2045, train/cla_loss=3.2611, train/lr=0.0001
2026-04-22 19:32:33 | INFO | cla | step=860 | train/total_loss=0.1076, train/distill_loss=0.1076, train/cla_loss=3.3050, train/lr=0.0000
2026-04-22 19:32:59 | INFO | cla | step=870 | train/total_loss=0.2737, train/distill_loss=0.2737, train/cla_loss=3.3319, train/lr=0.0000
2026-04-22 19:33:26 | INFO | cla | step=880 | train/total_loss=0.2081, train/distill_loss=0.2081, train/cla_loss=3.4167, train/lr=0.0000
2026-04-22 19:33:52 | INFO | cla | step=890 | train/total_loss=0.1299, train/distill_loss=0.1299, train/cla_loss=3.3676, train/lr=0.0000
2026-04-22 19:34:19 | INFO | cla | step=900 | train/total_loss=0.4713, train/distill_loss=0.4713, train/cla_loss=3.4394, train/lr=0.0000
2026-04-22 19:34:54 | INFO | cla | step=900 | eval/total_loss=0.4960, eval/distill_loss=0.4960, eval/cla_loss=3.3838
2026-04-22 19:35:20 | INFO | cla | step=910 | train/total_loss=0.4404, train/distill_loss=0.4404, train/cla_loss=3.4098, train/lr=0.0000
2026-04-22 19:35:47 | INFO | cla | step=920 | train/total_loss=0.1952, train/distill_loss=0.1952, train/cla_loss=3.4093, train/lr=0.0000
2026-04-22 19:36:14 | INFO | cla | step=930 | train/total_loss=0.8086, train/distill_loss=0.8086, train/cla_loss=3.3667, train/lr=0.0000
2026-04-22 19:36:39 | INFO | cla | step=940 | train/total_loss=0.5621, train/distill_loss=0.5621, train/cla_loss=3.3601, train/lr=0.0000
2026-04-22 19:37:14 | INFO | cla | step=940 | eval/total_loss=0.4945, eval/distill_loss=0.4945, eval/cla_loss=3.3839
2026-04-22 19:37:15 | INFO | cla | Training complete. Final metrics: {'train/total_loss': 0.5621249675750732, 'train/distill_loss': 0.5621249675750732, 'train/cla_loss': 3.360107183456421, 'train/lr': 0.0, 'eval/total_loss': 0.4945378469526768, 'eval/distill_loss': 0.4945378469526768, 'eval/cla_loss': 3.3839279651641845}
